,Surgeons,Hospitals,Avg Review,% Negative Outcome,Class,Predicted Class,Rating
39,Dr. Iva A. Smolens,Banner Heart Hospital;Banner Desert Medical Center;Chandler Regional Medical Center;Mountain Vista Medical Center;,4.247368421052632,19.8,2,2,2 stars
40,Dr. Darryl G. Stein,Banner Heart Hospital;Banner Desert Medical Center;Chandler Regional Medical Center;Flagstaff Medical Center;,4.753571428571428,20.2,2,2,2 stars
42,Dr. Jose E. Torres,Iowa Methodist Medical Center;Iowa Lutheran Hospital;Yavapai Regional Medical Center - West;University of Iowa Hospitals and Clinics;,3.6,63.4,3,1,3 stars
44,Dr. Hugh F. Burnett,Baptist Health Medical Center Little Rock;St. Vincent Infirmary Medical Center;,3.4,24.2,2,3,1 star
45,Dr. Edgar J. Chauvin,Mercy Hospital Northwest Arkansas;Conway Regional Medical Center;,4.6385964912280695,25.2,2,2,2 stars
46,Dr. James Stephen Counce,Northwest Medical Center (Bentonville);Washington Regional Medical Center;,3.4857142857142853,25.8,2,3,1 star
47,Dr. John Max Deloach,Baptist Health Medical Center North Little Rock;,4.7,13.8,1,1,3 stars
48,Dr. Louis Woodrow Elkins,Baxter Regional Medical Center;,4.5,33.4,2,2,2 stars
49,Dr. Robert C. Jaggers,Washington Regional Medical Center;Mercy Hospital Fort Smith;Sparks Regional Medical Center;Northwest Medical Center (Bentonville);,3.5400000000000005,34.8,2,3,1 star
51,Dr. David J. Miller,Sparks Regional Medical Center;Hillcrest Hospital South;,3.5,24.8,2,3,1 star
53,Dr. Matthew Allen Steliga,University of Arkansas for Medical Sciences Medical Center;,4.682608695652173,23.0,2,2,2 stars
54,Dr. Daniel Richard Stevenson,St. Bernards Medical Center;,4.5838709677419365,19.5,2,1,3 stars
55,Dr. Rowland P. Vernon,Sparks Regional Medical Center;Mercy Hospital Fort Smith;,4.4,34.1,2,1,3 stars
56,Dr. Edward Warren,National Park Medical Center;,4.548,24.4,2,1,3 stars
57,Dr. Russell Hunter Wood,Washington Regional Medical Center;Northwest Medical Center (Bentonville);,3.3,33.8,2,3,1 star
58,Dr. Amir Abolhoda,University of California Irvine Medical Center;Orange Coast Memorial Medical Center;Long Beach Memorial Medical Center;,5.0,30.6,2,2,2 stars
60,Dr. Peter Thomas Anastassiou,California Pacific Medical Center;Sutter Santa Rosa Regional Hospital;Seton Medical Center;,4.913207547169811,25.8,2,1,3 stars
61,Dr. Leheb H. Araim,Kaweah Delta Hospital;,3.835294117647059,15.6,1,3,1 star
64,Dr. Amir Berjis,Mercy Hospitals of Bakersfield;,5.0,5.2,1,2,2 stars
65,Dr. Mark Francis Berry,Duke University Hospital;,4.9,26.4,2,2,2 stars
68,Dr. Lamar J. Bushnell,Community Memorial Hospital (Ventura);,4.053846153846154,33.5,2,3,1 star
71,Dr. Joseph H. Chammas,Sharp Memorial Hospital;,4.0,23.1,2,2,2 stars
72,Dr. Shigeru Chino,Mission Hospital;Saddleback Memorial Medical Center;,3.7282608695652173,23.0,2,1,3 stars
73,Dr. Robbin Gerald Cohen,Huntington Hospital (Pasadena);Keck Hospital of USC;,4.639221556886227,30.9,2,1,3 stars
74,Dr. David Tom Cooke,UC Davis Medical Center;,4.5,22.9,2,2,2 stars
75,Dr. Elizabeth Ashleigh David,UC Davis Medical Center;,2.5,21.0,2,3,1 star
77,Dr. Costanzo Aldo Diperna,Mercy San Juan Medical Center;,4.6,19.7,2,2,2 stars
78,Dr. Gansevoort Hurlbut Dunnington,St. Helena Hospital;El Camino Hospital;Stanford University Hospital;Queen of the Valley Medical Center;,4.7318181818181815,26.6,2,2,2 stars
79,Dr. Clark Beeman Fuller,Cedars-Sinai Medical Center;Saint John's Health Center;Torrance Memorial Medical Center;,4.6,23.0,2,2,2 stars
80,Dr. Lit Keung Fung,Memorial Medical Center (Modesto);,4.629113924050634,15.6,1,1,3 stars
81,Dr. Ali Gheissari,Good Samaritan Hospital (Los Angeles);St. Vincent Medical Center;Providence Saint Joseph Medical Center;Glendale Adventist Medical Center;Methodist Hospital of Southern California;,4.594736842105263,32.7,2,1,3 stars
82,Dr. Robert John Gottner,Providence Saint Joseph Medical Center;Methodist Hospital of Southern California;Citrus Valley Medical Center;Good Samaritan Hospital (Los Angeles);,4.077777777777778,14.7,1,3,1 star
83,Dr. Jeffrey August Hagen,Keck Hospital of USC;,4.073333333333333,40.2,3,2,2 stars
84,Dr. Omid Hajiseyed Javadi,Vista Medical Center East;Banner Boswell Medical Center;Lourdes Hospital - Paducah;Shea Medical Center;,4.911363636363636,30.2,2,2,2 stars
85,Dr. Howard H. Hayashi,Sierra Vista Regional Medical Center;French Hospital Medical Center;Arroyo Grande Community Hospital;Marian Medical Center;Twin Cities Community Hospital;,4.6546875,15.9,1,1,3 stars
88,Dr. Mark W. Huang,Sharp Chula Vista Medical Center;Scripps Mercy Hospital;,4.257894736842106,46.9,3,2,2 stars
89,Dr. David Mark Jablons,UCSF Medical Center;,4.477777777777778,22.5,2,2,2 stars
91,Dr. Colin Isao Joyo,Hoag Memorial Hospital Presbyterian;,4.710344827586208,24.6,2,1,3 stars
92,Dr. Samer Kanaan,Santa Rosa Memorial Hospital;Queen of the Valley Medical Center;,4.95,19.8,2,2,2 stars
93,Dr. Shamsuddin Khwaja,Fresno Heart and Surgical Hospital;Saint Agnes Medical Center;Community Regional Medical Center;Clovis Community Medical Center;,4.373831775700935,26.7,2,3,1 star
95,Dr. Ara S. Klijian,Sharp Chula Vista Medical Center;Scripps Mercy Hospital;,5.0,23.9,2,2,2 stars
96,Dr. Michael Peter Koumjian,Sharp Grossmont Hospital;Sharp Chula Vista Medical Center;Scripps Mercy Hospital;Alvarado Hospital;,3.8909090909090907,23.1,2,3,1 star
97,Dr. Jasleen Kukreja,UCSF Medical Center;,4.1450000000000005,31.1,2,2,2 stars
98,Dr. Tuan T. Lam,Orange Coast Memorial Medical Center;Fountain Valley Regional Hospital;Long Beach Memorial Medical Center;Citrus Valley Medical Center;Garfield Medical Center;,4.171428571428572,39.2,3,2,2 stars
99,Dr. Jay M. Lee,Ronald Reagan UCLA Medical Center;Hoag Memorial Hospital Presbyterian;,3.5566666666666666,29.6,2,3,1 star
100,Dr. Sang H. Lee,Regional Medical Center of San Jose;O'Connor Hospital;Doctors Medical Center;Washington Hospital;,4.526923076923077,11.2,1,2,2 stars
101,Dr. Philippe H. Lemoine,Centinela Hospital Medical Center;Providence Little Company of Mary (Torrance);,4.645161290322581,20.4,2,2,2 stars
102,Dr. Ali Mahtabifard,Cedars-Sinai Medical Center;Saint John's Health Center;,3.829032258064516,23.8,2,2,2 stars
103,Dr. Farshad Malekmehr,Valley Presbyterian Hospital;Henry Mayo Newhall Memorial Hospital;Mission Community Hospital;,3.599107142857143,29.4,2,3,1 star
104,Dr. Michael J. Mann,UCSF Medical Center;,3.5,32.9,2,3,1 star
106,Dr. John P. Maurice,Hoag Memorial Hospital Presbyterian;St. Joseph Hospital (Orange);,4.3,15.0,1,2,2 stars
107,Dr. Stephen Daniel Maxwell,Sutter Roseville Medical Center;Mercy San Juan Medical Center;,4.735955056179775,27.4,2,2,2 stars
108,Dr. Paul Michael Mcfadden,Keck Hospital of USC;Huntington Hospital (Pasadena);,4.764788732394367,35.0,2,1,3 stars
109,Dr. Robert Joseph McKenna,Cedars-Sinai Medical Center;,4.278260869565218,26.2,2,1,3 stars
110,Dr. Jeffrey Milliken,University of California Irvine Medical Center;,4.225,28.6,2,2,2 stars
111,Dr. Gholam Reza Mohammadzadeh,Los Robles Hospital and Medical Center;Providence Tarzana Medical Center;West Hills Hospital and Medical Center;,4.455172413793103,27.3,2,2,2 stars
112,Dr. Erick Leopoldo Montero,Kingman Regional Medical Center;Mission Hospital;Saddleback Memorial Medical Center;,4.5,31.8,2,2,2 stars
114,Dr. Michael Stephen O'Holleran,Sequoia Hospital;,3.7,12.6,1,3,1 star
115,Dr. Daniel Sangwon Oh,Keck Hospital of USC;St. Jude Medical Center;,4.6,24.3,2,2,2 stars
117,Dr. Brian Avecilla Palafox,St. Joseph Hospital (Orange);,4.2956521739130435,19.7,2,1,3 stars
118,Dr. Michael Anthony Palmer,St. Joseph Hospital (Eureka);,4.632467532467532,27.6,2,1,3 stars
119,Dr. Anthony Perricone,UCSD Medical Center;,4.047058823529412,19.2,2,2,2 stars
120,Dr. Edward William Pottmeyer,Mercy Medical Center Redding;,3.9666666666666663,9.8,1,3,1 star
125,Dr. Randall F. Roberts,Glendale Memorial Hospital;Glendale Adventist Medical Center;City of Hope;,4.5200000000000005,18.7,2,2,2 stars
128,Dr. Donald E. Schepps,Mercy Medical Center Redding;,4.348484848484849,30.4,2,1,3 stars
129,Dr. Steven Michael Schwartz,Good Samaritan Hospital (San Jose);O'Connor Hospital;Regional Medical Center of San Jose;,4.524137931034482,34.7,2,1,3 stars
130,Dr. Sachin H. Shah,The Community Hospital;California Pacific Medical Center;,4.6,11.1,1,2,2 stars
131,Dr. Saurin Shah,Eden Medical Center;John Muir Medical Center - Concord Campus;John Muir Medical Center - Walnut Creek Campus;,5.0,31.4,2,2,2 stars
132,Dr. Joseph B. Shrager,Stanford University Hospital;,4.7594936708860756,24.8,2,2,2 stars
133,Dr. Robert Luther Shuman,Long Beach Memorial Medical Center;,3.4272727272727277,35.9,3,3,1 star
134,Dr. Harmik J. Soukiasian,Cedars-Sinai Medical Center;,4.685534591194969,33.8,2,2,2 stars
135,Dr. Gregory Scott Spowart,Community Hospital of the Monterey Peninsula;,4.3839999999999995,20.8,2,1,3 stars
136,Dr. Russell David Stanten,Alta Bates Summit Medical Center - Summit Campus;,5.0,22.1,2,1,3 stars
137,Dr. Alexander Geoffrey Stein,St. Mary Medical Center (Long Beach);Long Beach Memorial Medical Center;,3.8337662337662337,33.6,2,1,3 stars
138,Dr. John M. Stoneburner,Torrance Memorial Medical Center;,4.3769230769230765,27.0,2,1,3 stars
139,Dr. Michaela Straznicka,John Muir Medical Center - Walnut Creek Campus;John Muir Medical Center - Concord Campus;,4.83448275862069,21.5,2,2,2 stars
141,Dr. Bruce Michael Toporoff,St. John's Regional Medical Center;Los Robles Hospital and Medical Center;Community Memorial Hospital (Ventura);,4.135937500000001,29.0,2,3,1 star
144,Dr. Pei H. Tsau,El Camino Hospital;Dominican Hospital;Northwest Medical Center (Tucson);Mills-Peninsula Medical Center;St. Mary's Hospital (Tucson);,4.3,19.5,2,2,2 stars
145,Dr. John Jeffrey Tyner,Scripps Green Hospital;Scripps Mercy Hospital;,4.908108108108108,17.5,1,1,3 stars
147,Dr. Quang T. Vo,Fountain Valley Regional Hospital;Garfield Medical Center;Citrus Valley Medical Center;Long Beach Memorial Medical Center;Orange Coast Memorial Medical Center;Saddleback Memorial Medical Center;,3.0717948717948715,18.2,2,3,1 star
148,Dr. Syam Prasad Vunnamadala,AHMC Anaheim Regional Medical Center;West Anaheim Medical Center;,4.4,29.6,2,1,3 stars
149,Dr. Phillip N. West,Santa Barbara Cottage Hospital;,5.0,20.0,2,1,3 stars
150,Dr. Joseph W. Wilson,Eisenhower Medical Center;,4.611764705882353,15.8,1,2,2 stars
151,Dr. Roderick K. Yasuda,Northridge Hospital Medical Center;West Hills Hospital and Medical Center;Providence Holy Cross Medical Center;Providence Tarzana Medical Center;Valley Presbyterian Hospital;,4.066666666666666,24.6,2,1,3 stars
154,Dr. Douglas Richard Zusman,Hoag Memorial Hospital Presbyterian;,4.6625000000000005,17.3,1,1,3 stars
155,Dr. Matthew Blum,Penrose Hospital/St. Francis Medical Center;Memorial Hospital (Colorado Springs);Northwestern Memorial Hospital;,4.483333333333333,20.9,2,2,2 stars
156,Dr. Jeffrey Schuyler Cross,St. Anthony Hospital (Lakewood);,4.8,11.1,1,1,3 stars
157,Dr. Steven P. Cummings,Winchester Medical Center;Saint Agnes Medical Center;Fresno Heart and Surgical Hospital;,4.1375,21.7,2,2,2 stars
158,Dr. Justin Green,Rapid City Regional Hospital;,3.4,12.5,1,3,1 star
159,Dr. Myles Stuart Guber,Porter Adventist Hospital;Swedish Medical Center;Boulder Community Foothills Hospital;,4.731111111111111,20.1,2,1,3 stars
160,Dr. Bradley O. Hofer,Porter Adventist Hospital;Swedish Medical Center;Boulder Community Foothills Hospital;Sky Ridge Medical Center;,3.0,29.9,2,3,1 star
161,Dr. Bryan M. Mahan,Memorial Hospital (Colorado Springs);Boulder Community Foothills Hospital;,4.3149999999999995,21.7,2,1,3 stars
164,Dr. James Narrod,St. Mary's Medical Center (Grand Junction);,4.888235294117647,30.1,2,1,3 stars
165,Dr. Richard Keith Parker,Presbyterian/St. Luke's Medical Center;Rose Medical Center;The Medical Center of Aurora;,4.430526315789473,18.7,2,1,3 stars
167,Dr. Theolyn N. Price,Orlando Regional Medical Centers;Penrose Hospital/St. Francis Medical Center;,4.916,33.3,2,2,2 stars
168,Dr. Edward P. Raines,BryanLGH Medical Center;Faith Regional Health Services;Rockford Memorial Hospital;,4.626190476190477,23.6,2,1,3 stars
169,Dr. Franco R. Rea,Floyd Memorial Hospital;Clark Memorial Hospital;Jewish Hospital/Sts. Mary and Elizabeth Hospital;St. Anthony Hospital (Lakewood);,3.9799999999999995,40.0,3,3,1 star
170,Dr. Michael W. Stanton,Medical Center of the Rockies;Poudre Valley Hospital;,3.6,26.3,2,3,1 star
173,Dr. Peter L. Walinsky,Presbyterian Hospital;,4.543055555555556,5.9,1,2,2 stars
175,Dr. Cristobal G. Alvarado,MaineGeneral Medical Center;MidState Medical Center;,4.4,41.4,3,2,2 stars
176,Dr. Jonathan D. Blancaflor,Middlesex Hospital;,3.9739999999999998,5.8,1,2,2 stars
177,Dr. Daniel Joseph Boffa,Yale-New Haven Hospital;,3.5615384615384613,24.7,2,3,1 star
179,Dr. Frank C. Detterbeck,Yale-New Haven Hospital;,4.138461538461538,25.8,2,2,2 stars
180,Dr. Albert C. Dimeo,St. Vincent's Medical Center;,4.45,20.6,2,2,2 stars
181,Dr. Michael Irwin Ebright,Boston Medical Center;Stamford Hospital;,5.0,22.7,2,2,2 stars
186,Dr. Anthony W. Kim,Yale-New Haven Hospital;,4.1866666666666665,20.5,2,2,2 stars
188,Dr. James V. Lettera,Norwalk Hospital;Bridgeport Hospital;St. Vincent's Medical Center;,4.035,30.5,2,1,3 stars
191,Dr. Patrick M. Rocco,Hospital of Central Connecticut;University of Connecticut Health Center - John Dempsey Hospital;,3.863380281690141,33.1,2,3,1 star
192,Dr. John O. Thayer,Saint Francis Hospital and Medical Center;,4.613513513513513,28.1,2,1,3 stars
193,Dr. Shawn Tittle,Danbury Hospital;Norwalk Hospital;,4.352631578947369,22.1,2,2,2 stars
194,Dr. David J. Underhill,Hartford Hospital;Waterbury Hospital;Saint Mary's Hospital;,4.803,34.1,2,1,3 stars
195,Dr. Paul A. Fedalen,Bayhealth Kent General Hospital;,4.616666666666666,22.8,2,2,2 stars
196,Dr. Charles R. Mulligan,Centra Lynchburg General/Centra Virginia Baptist;Christiana Hospital/Wilmington Hospital;,3.4875,26.6,2,3,1 star
198,Dr. Brian T. Nam,Christiana Hospital/Wilmington Hospital;,4.3,20.1,2,2,2 stars
199,Dr. Gary Walter Szydlowski,Lehigh Valley Hospital;Bayhealth Kent General Hospital;Lehigh Valley Hospital - Muhlenberg;,4.7,31.8,2,2,2 stars
200,Dr. Christopher Mark Eger,MedStar Washington Hospital Center;,4.715789473684211,56.6,3,1,3 stars
202,Dr. Margaret Blair Marshall,MedStar Georgetown University Hospital;,3.8117647058823527,29.8,2,2,2 stars
203,Dr. Kevin D. Accola,Florida Hospitals;,4.378,57.9,3,2,2 stars
204,Dr. Richard Clarke Agnew,Mayo Clinic;,3.953333333333333,22.3,2,1,3 stars
205,Dr. Gary S. Allen,Florida Hospital Waterman;,4.059090909090909,31.5,2,3,1 star
206,Dr. Tamim Antaki,Union Hospital (Terre Haute);Terre Haute Regional Hospital;,4.466666666666667,58.4,3,3,1 star
207,Dr. Louis I. Astra,Florida Hospital North Pinellas;Medical Center of Trinity;Morton Plant North Bay Hospital;,4.266666666666667,25.8,2,3,1 star
208,Dr. Nathan Ramsey Bates,Orange Park Medical Center;St. Vincent's Medical Center Riverside;Baptist Medical Center;Flagler Hospital;,3.8967741935483873,26.4,2,3,1 star
209,Dr. Mark Ian Block,Memorial Regional Hospital;Memorial Hospital West;,4.6,25.6,2,2,2 stars
210,Dr. Stuart L. Boe,Holy Cross Hospital (Fort Lauderdale);Broward Health Medical Center;,4.4541666666666675,27.1,2,1,3 stars
211,Dr. Joseph H. Boyer,Florida Hospitals;Florida Hospital Waterman;,3.8907407407407413,37.0,3,3,1 star
212,Dr. Richard A. Brezing,Northwest Medical Center (Margate);Westside Regional Medical Center;North Shore Medical Center (Fort Lauderdale);,4.210126582278481,35.2,2,1,3 stars
213,Dr. Clay M. Burnett,St. Joseph Medical Center (Kansas City);Olathe Medical Center;,4.7,33.7,2,1,3 stars
214,Dr. Randall W. Buss,Lee Memorial Hospital;Gulf Coast Medical Center (Fort Myers);,4.079629629629629,29.7,2,3,1 star
215,Dr. Anthony Vincent Caggiano,UF Health Shands Hospital;Winchester Medical Center;Centra Lynchburg General/Centra Virginia Baptist;Piedmont Medical Center;,3.9647058823529413,19.0,2,3,1 star
216,Dr. Matthew Campbell,Holmes Regional Medical Center;Osceola Regional Medical Center;,3.5214285714285714,33.3,2,3,1 star
217,Dr. Richard George Cartledge,Delray Medical Center;Boca Raton Regional Hospital;,4.731249999999999,29.2,2,2,2 stars
218,Dr. Roberto De Alba Cervera,Yuma Regional Medical Center;,5.0,40.7,3,1,3 stars
220,Dr. Paul Nicholas Chomiak,Frederick Memorial Hospital;,4.3,25.5,2,3,1 star
221,Dr. Charles Donaldson Cousar,Baptist Medical Center;,4.3,27.6,2,2,2 stars
222,Dr. Fred Michael Crouch,Martin Memorial Medical Center;Citrus Memorial Hospital;Venice Regional Bayfront Health;,3.7,41.3,3,3,1 star
223,Dr. Harry J. D'Agostino,UF Health Jacksonville;Baptist Medical Center;,5.0,25.3,2,1,3 stars
224,Dr. Irving B. David,Holy Cross Hospital (Fort Lauderdale);,4.227586206896552,17.8,2,1,3 stars
226,Dr. Utpal S. Desai,Halifax Health Medical Center;Florida Hospital Ormond Memorial;,3.9232558139534883,64.4,3,3,1 star
227,Dr. Marshall Matthew Desantis,Regional Medical Center Bayonet Point;Oak Hill Hospital;Medical Center of Trinity;,5.0,59.0,3,1,3 stars
228,Dr. Paul L. Digiorgi,Lee Memorial Hospital;Gulf Coast Medical Center (Fort Myers);,4.4111111111111105,27.7,2,2,2 stars
230,Dr. Mark Richard Dylewski,South Miami Hospital;,4.652,32.9,2,2,2 stars
231,Dr. Gregory James England,Bay Medical Center;,4.5,25.4,2,3,1 star
232,Dr. Juan Carlos Escalon,William W. Backus Hospital;Hartford Hospital;,4.717136150234742,33.4,2,2,2 stars
233,Dr. Alessandro Ferrero,Florida Hospitals;Orlando Regional Medical Centers;,4.485106382978723,20.9,2,1,3 stars
234,Dr. Norman Reed Finney,Bay Medical Center;,4.099999999999999,27.5,2,3,1 star
235,Dr. Adrian J. Finol-Hernandez,The Villages Regional Hospital;Leesburg Regional Medical Center;,4.422222222222222,30.6,2,3,1 star
236,Dr. Jose F. Font,Palmetto General Hospital;,4.220000000000001,58.6,3,1,3 stars
237,Dr. Sunil Gandhi,Martin Memorial Medical Center;,3.7,21.1,2,3,1 star
238,Dr. Farid Gharagozloo,Banner-University Medical Center;Reston Hospital Center;George Washington University Hospital;,3.752830188679245,26.1,2,3,1 star
239,Dr. Michael A. Greene,Holmes Regional Medical Center;Sebastian River Medical Center;,3.563636363636363,50.4,3,3,1 star
243,Dr. Vasant Jayasankar,Memorial Hospital Jacksonville;Mercy Medical Center (Des Moines);St. Vincent's Medical Center Riverside;Orange Park Medical Center;Flagler Hospital;,2.884210526315789,25.1,2,3,1 star
245,Dr. Robert James Keenan,Allegheny General Hospital;Forbes Hospital;,3.774468085106383,24.7,2,3,1 star
247,Dr. Sohit K. Khanna,Owensboro Health;,4.18,11.1,1,3,1 star
248,Dr. Nayer N. Khouzam,Florida Hospitals;Orlando Regional Medical Centers;,4.687619047619048,27.8,2,2,2 stars
249,Dr. Peter Y. Kim,Citrus Memorial Hospital;,4.676847290640395,28.8,2,3,1 star
250,Dr. Charles T. Klodell,UF Health Shands Hospital;,4.294117647058823,23.1,2,2,2 stars
251,Dr. David E. Lammermeier,Munroe Regional Medical Center;,3.693548387096774,23.3,2,3,1 star
252,Dr. Kenneth Adam Lee,Jupiter Medical Center;Kennedy University Hospital;,4.128571428571428,17.1,1,3,1 star
254,Dr. Frederick Byron Liebler,Boca Raton Regional Hospital;,5.0,36.7,3,1,3 stars
255,Dr. Bradley Scott Litke,Halifax Health Medical Center;Florida Hospital Ormond Memorial;,4.27093023255814,28.4,2,3,1 star
257,Dr. James L. Lonquist,Baptist Hospital;Sacred Heart Hospital (Pensacola);,4.7,25.1,2,2,2 stars
258,Dr. Geoffrey M. Lynn,Bethesda Hospital East;Delray Medical Center;,3.5,22.6,2,3,1 star
259,Dr. Mark A. Malias,Indian River Medical Center;,4.594736842105263,17.7,2,2,2 stars
262,Dr. Hugo L. Mendonca,Regional Medical Center Bayonet Point;Medical Center of Trinity;,4.0,20.7,2,3,1 star
263,Dr. Cary H. Meyers,Holston Valley Medical Center;,4.428571428571429,15.3,1,3,1 star
266,Dr. Richard John Morgan,Lawnwood Regional Medical Center and Heart Institute;Indian River Medical Center;Sebastian River Medical Center;,3.6666666666666665,29.9,2,3,1 star
268,Dr. Derek David Muehrcke,Flagler Hospital;,4.448,7.3,1,2,2 stars
271,Dr. Dao M. Nguyen,University of Miami Hospital;Jackson Memorial Hospital;,4.881229773462784,23.3,2,1,3 stars
272,Dr. James L. Nielsen,Baptist Hospital;Sacred Heart Hospital (Pensacola);,5.0,23.6,2,1,3 stars
274,Dr. John C. Ofenloch,Morton Plant Hospital;Largo Medical Center;,4.83,22.2,2,2,2 stars
275,Dr. Robert D. Pascotto,NCH Hospitals;Gulf Coast Medical Center (Fort Myers);Lee Memorial Hospital;,4.478151260504202,17.5,1,2,2 stars
276,Dr. Richard Gordon Picciocca,Brandon Regional Hospital;,4.743478260869565,26.8,2,2,2 stars
277,Dr. John Peter Pirris,Memorial Hospital Jacksonville;St. Vincent's Medical Center Riverside;Baptist Medical Center;Flagler Hospital;Orange Park Medical Center;,3.820833333333333,18.4,2,3,1 star
278,Dr. Richard R. Proia,North Florida Regional Medical Center;,3.8812499999999996,33.9,2,3,1 star
279,Dr. Joe B. Putnam,Vanderbilt University Medical Center;,4.8500000000000005,32.8,2,1,3 stars
280,Dr. Narayana Murthy S. Rattehalli,Oak Hill Hospital;Regional Medical Center Bayonet Point;,4.3,48.9,3,3,1 star
281,Dr. Lary Robinson,H. Lee Moffitt Cancer Center and Research Institute;,5.0,15.1,1,1,3 stars
282,Dr. David Lester Saint,Tallahassee Memorial HealthCare;South Georgia Medical Center;,4.128571428571429,12.5,1,3,1 star
283,Dr. Guillermo Sanabria,Wuesthoff Medical Center - Rockledge;,4.384615384615385,51.4,3,3,1 star
284,Dr. Eric L. Sandwith,Fort Walton Beach Medical Center;,4.665671641791045,19.7,2,3,1 star
285,Dr. Edward B. Savage,Cleveland Clinic Florida;,4.2,21.9,2,2,2 stars
